Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,overlap_num,overlap_den,overlap_frac
Human adenovirus 61 L1 pIIIa,2020-02-23 00:00:00,0.0102806740410296,0.182631550755327,12.9785853341986,59.4093374810004,HSPA8;UBC,,,
Human adenovirus 66 DNA binding protein (gene: E2A),2020-02-23 00:00:00,0.0102806740410296,0.1821496733127,12.9785853341986,59.4093374810004,HSP90AB1;UBC,,,
Human adenovirus 7 DBP,2020-02-23 00:00:00,0.0102806740410296,0.181670332067141,12.9785853341986,59.4093374810004,HSP90AB1;UBC,,,
Vaccinia virus semaphorin-like protein (gene: A39R),2020-02-23 00:00:00,0.0102806740410296,0.181193507048592,12.9785853341986,59.4093374810004,HSP90AB1;B2M,,,
Human mastadenovirus A pIIIa,2020-02-23 00:00:00,0.0102806740410296,0.180719178496109,12.9785853341986,59.4093374810004,HSPA8;UBC,,,
Human T-lymphotropic virus 2 full_polyprotein 1..982,4/126,0.0102816432811333,0.180264320190105,4.73821369343757,21.6886765196864,HSP90AB1;UBC;B2M;RPL6,4.0,126.0,0.031746031746031744
Cowpox virus CPXV075 protein (gene: CPXV075 CDS),3/67,0.0103102733595233,0.180295535440621,6.68300289596792,30.5721617328157,HSPA8;UBC;B2M,3.0,67.0,0.04477611940298507
Molluscum contagiosum virus subtype 1 MC161R (gene: MC161R),3/67,0.0103102733595233,0.179827235348568,6.68300289596792,30.5721617328157,UBC;PABPC1;B2M,3.0,67.0,0.04477611940298507
Ectromelia virus ERPV profilin-like protein,3/67,0.0103102733595233,0.179361361681862,6.68300289596792,30.5721617328157,HSPA8;ACTB;ACTG1,3.0,67.0,0.04477611940298507
Vaccinia virus Ankara CD47-like protein,3/67,0.0103102733595233,0.178897895631004,6.68300289596792,30.5721617328157,UBB;UBC;B2M,3.0,67.0,0.04477611940298507
Human betaherpesvirus 5 chemokine vCXCL1 (gene: UL146),4/127,0.0105621006660303,0.18279511848555,4.70090492419791,21.3913883830293,HSP90AB1;RPS6;UBC;B2M,4.0,127.0,0.031496062992125984
Cowpox virus CPXV194 protein (gene: CPXV194 CDS),6/276,0.0108143090144062,0.18667888182966,3.24464633354964,14.688141184386,UBB;UBC;RPL13;MT-CO2;RPS27A;B2M,6.0,276.0,0.021739130434782608
Nipah henipavirus P phosphoprotein,7/361,0.0109732569508102,0.188936975447924,2.8941166742465,13.0591057461616,FGB;HSPA8;FGA;FTH1;UBC;APOA1;PABPC1,7.0,361.0,0.019390581717451522
Alphapapillomavirus 3 replication protein E1 (gene: E1),2020-02-24 00:00:00,0.0111664721607813,0.191772021891679,12.4378109452736,55.9059645200052,UBC;B2M,,,
Cyclovirus PK5222 replication-association protein (gene: rep),2020-02-24 00:00:00,0.0111664721607813,0.191282807550119,12.4378109452736,55.9059645200052,UBC;B2M,,,
Monkeypox virus BTB domain of kelch-like protein,2020-02-24 00:00:00,0.0111664721607813,0.190796082848974,12.4378109452736,55.9059645200052,HSPA8;UBC,,,
Monkeypox virus Zaire-96-I-16 D12L (gene: D12L),2020-02-24 00:00:00,0.0111664721607813,0.19031182883159,12.4378109452736,55.9059645200052,HSPA8;UBC,,,
Human adenovirus 52 pVI (gene: pVI),2020-02-24 00:00:00,0.0111664721607813,0.189830026733283,12.4378109452736,55.9059645200052,HSPA8;UBC,,,
Human adenovirus 7d2 DNA binding protein (gene: E2A),2020-02-24 00:00:00,0.0111664721607813,0.189350657978906,12.4378109452736,55.9059645200052,HSP90AB1;UBC,,,
Kyasanur Forest disease virus NS3,3/69,0.0111680326084134,0.188900098149863,6.48929266709929,29.1674225383426,AMBP;UBC;RPS2,3.0,69.0,0.043478260869565216
Human gammaherpesvirus 8 KCP (gene: ORF4),3/69,0.0111680326084134,0.188425474787678,6.48929266709929,29.1674225383426,C3;B2M;CFB,3.0,69.0,0.043478260869565216
Human papillomavirus type 84 putative regulatory protein E2 (gene: E2),3/69,0.0111680326084134,0.187953230489964,6.48929266709929,29.1674225383426,PABPC1;EEF2;B2M,3.0,69.0,0.043478260869565216
HBV genotype B C protein (gene: C),3/70,0.0116119141952595,0.194935009552919,6.39658848614072,28.5014304189552,HSPA8;UBC;B2M,3.0,70.0,0.04285714285714286
Alphapapillomavirus 4 early protein E2 (gene: E2),4/131,0.0117332992049813,0.196481556512343,4.55736584254301,20.2589695509481,EEF1G;MYH9;PABPC1;B2M,4.0,131.0,0.030534351145038167
Bundibugyo ebolavirus spike glycoprotein (gene: GP),4/131,0.0117332992049813,0.195992796421516,4.55736584254301,20.2589695509481,HSPA8;HSP90AB1;FTH1;UBC,4.0,131.0,0.030534351145038167
Molluscum contagiosum virus subtype 1 MC013L (gene: MC013L),4/131,0.0117332992049813,0.195506461939081,4.55736584254301,20.2589695509481,HSPA8;HSP90AB1;UBC;B2M,4.0,131.0,0.030534351145038167
Human papillomavirus type 2 E2 protein (gene: E2),4/131,0.0117332992049813,0.195022535053093,4.55736584254301,20.2589695509481,EEF1G;MYH9;PABPC1;B2M,4.0,131.0,0.030534351145038167
Macaque simian foamy virus Pol (gene: pol),4/132,0.0120385918267533,0.199602824979379,4.52284034373587,19.9893161639639,RPS4X;HSP90AB1;UBC;B2M,4.0,132.0,0.030303030303030304
Louping ill virus nonstructural protein NS3,3/71,0.0120658477298061,0.199561988930168,6.30649569056128,27.8581647182085,AMBP;UBC;RPS2,3.0,71.0,0.04225352112676056
Hepatitis C virus subtype 4a full_polyprotein 1..3008 (gene: HCV G4),3/71,0.0120658477298061,0.199071664633042,6.30649569056128,27.8581647182085,HSP90AB1;UBC;B2M,3.0,71.0,0.04225352112676056
Macacine alphaherpesvirus 1 envelope glycoprotein G (gene: US4),2020-02-25 00:00:00,0.0120846756858911,0.198893620663625,11.9402985074627,52.7261743435651,UBC;B2M,,,
Horsepox virus HSPV074d (ribonucleoside--diphosphate reductase large subunit),2020-02-25 00:00:00,0.0120846756858911,0.198407328192565,11.9402985074627,52.7261743435651,HSPA8;UBC,,,
Norovirus Hu/Shanghai/SH312/2009/CHN VP1,2020-02-25 00:00:00,0.0120846756858911,0.1979234078799,11.9402985074627,52.7261743435651,UBC;GAPDH,,,
Human betaherpesvirus 5 DNA polymerase catalytic subunit (gene: UL54),2020-02-25 00:00:00,0.0120846756858911,0.197441842410606,11.9402985074627,52.7261743435651,HSPA8;UBC,,,
Human immunodeficiency virus 1 reverse transcriptase p51 subunit (gene: gag-pol),2020-02-25 00:00:00,0.0120846756858911,0.196962614637764,11.9402985074627,52.7261743435651,UBC;B2M,,,
Human rhinovirus A65 3D,2020-02-25 00:00:00,0.0120846756858911,0.19648570758053,11.9402985074627,52.7261743435651,UBC;B2M,,,
Influenza A virus (A/New York/599/1996(H3N2)) hemagglutinin (gene: HA),3/72,0.0125298684667714,0.203232045300411,6.21890547263682,27.2365672114032,UBC;APOA1;B2M,3.0,72.0,0.041666666666666664
HBV genotype C C protein (gene: C),3/72,0.0125298684667714,0.202742329528603,6.21890547263682,27.2365672114032,HSPA8;UBC;B2M,3.0,72.0,0.041666666666666664
Human betaherpesvirus 6B G-protein coupled receptor (gene: U12),3/72,0.0125298684667714,0.202254968159544,6.21890547263682,27.2365672114032,MT-ATP6;HSPA8;UBC,3.0,72.0,0.041666666666666664
Langat virus envelope membrane-associated glycoprotein,3/73,0.0130040095250494,0.209405093430951,6.13371498671028,26.6356422658148,HSPA8;HSP90AB1;RPL13,3.0,73.0,0.0410958904109589
Modoc virus non-structural protein 3,3/73,0.0130040095250494,0.208904124307911,6.13371498671028,26.6356422658148,AMBP;UBC;RPS2,3.0,73.0,0.0410958904109589
Human adenovirus 16 DNA binding protein (gene: E2A),2020-02-26 00:00:00,0.0130348173641673,0.208899280669172,11.4810562571757,49.829290963061,HSP90AB1;UBC,,,
Human parechovirus 6 2C,2020-02-26 00:00:00,0.0130348173641673,0.208401901429484,11.4810562571757,49.829290963061,FTH1;UBC,,,
African green monkey simian foamy virus Pol precursor (gene: pol),4/136,0.0133106026898405,0.212305693734629,4.38981562774363,18.960466929853,RPS4X;HSP90AB1;UBC;B2M,4.0,136.0,0.029411764705882353
Rosavirus A2 full_polyprotein 1..2468,3/74,0.0134883019205102,0.214630207100061,6.05082694634934,26.054452361398,EEF1A1;UBC;B2M,3.0,74.0,0.04054054054054054
Ectromelia virus ERPV kelch-like protein,6/291,0.0137472006070649,0.218232747225629,3.07739652254193,13.1925529090959,HSPA8;HSP90AB1;UBB;UBC;RPS27A;B2M,6.0,291.0,0.020618556701030927
Sudan ebolavirus spike glycoprotein (gene: GP),4/138,0.0139774990216349,0.221365344175185,4.32619511139952,18.4741789100549,HSPA8;FTH1;UBC;B2M,4.0,138.0,0.028985507246376812
Sudan ebolavirus - Nakisamata structural glycoprotein (gene: GP),4/138,0.0139774990216349,0.220844484541832,4.32619511139952,18.4741789100549,HSPA8;FTH1;UBC;B2M,4.0,138.0,0.028985507246376812
Hepatitis C virus subtype 4n full_polyprotein 1..3007,3/75,0.013982774599499,0.220409228722149,5.97014925373134,25.4921139860474,HSP90AB1;UBC;B2M,3.0,75.0,0.04
Human rhinovirus B97 3D,2020-02-27 00:00:00,0.014016434660709,0.220422385823562,11.0558319513543,47.1810363020172,UBC;ALB,,,
Human adenovirus 41 VI,2020-02-27 00:00:00,0.014016434660709,0.219907380249208,11.0558319513543,47.1810363020172,HSPA8;UBC,,,
Human papillomavirus 98 E7 protein (gene: E7),2020-02-27 00:00:00,0.014016434660709,0.219394775633243,11.0558319513543,47.1810363020172,UBC;HP,,,
Influenza A virus (A/New York/602/1996(H3N2)) hemagglutinin (gene: HA),3/76,0.0144874544745311,0.226240132084829,5.89159465828751,24.9477938691144,UBC;APOA1;B2M,3.0,76.0,0.039473684210526314
KI polyomavirus Stockholm 350 large T antigen,3/76,0.0144874544745311,0.225715212984864,5.89159465828751,24.9477938691144,HSPA8;UBC;ALB,3.0,76.0,0.039473684210526314
Rio Bravo virus envelope protein,3/76,0.0144874544745311,0.225192724065917,5.89159465828751,24.9477938691144,HSP90AB1;UBC;B2M,3.0,76.0,0.039473684210526314
Monkeypox virus bifunctional hemagglutinin/type-I membrane glycoprotein,7/384,0.0149728603857068,0.232200363718293,2.72077114427861,11.4313635610675,HSP90AB1;UBB;UBC;RPL13;MT-CO2;RPS27A;B2M,7.0,384.0,0.018229166666666668
Influenza A virus (A/New York/599/1996(H3N2)) HA2 (gene: HA),3/77,0.0150023664549885,0.232121868076608,5.81508044194611,24.4207055242726,UBC;APOA1;B2M,3.0,77.0,0.03896103896103896
Influenza A virus (A/New York/602/1996(H3N2)) HA2 (gene: HA),3/77,0.0150023664549885,0.231588254586777,5.81508044194611,24.4207055242726,UBC;APOA1;B2M,3.0,77.0,0.03896103896103896
Yaba monkey tumor virus double-strand RNA-binding protein,3/77,0.0150023664549885,0.231057088865248,5.81508044194611,24.4207055242726,HSPA8;HSP90AB1;UBC,3.0,77.0,0.03896103896103896
Human mastadenovirus B encapsidation protein IVa2 (gene: IVa2),3/77,0.0150023664549885,0.230528354108119,5.81508044194611,24.4207055242726,UBB;UBC;RPS27A,3.0,77.0,0.03896103896103896
Human papillomavirus type 59 ORF putative E2,3/77,0.0150023664549885,0.23000203366495,5.81508044194611,24.4207055242726,PABPC1;EEF2;B2M,3.0,77.0,0.03896103896103896
Human papillomavirus type 78 regulatory protein E2 (gene: E2),3/77,0.0150023664549885,0.229478111037011,5.81508044194611,24.4207055242726,PABPC1;EEF2;B2M,3.0,77.0,0.03896103896103896
Cercopithecine betaherpesvirus 5 membrane protein US27D (gene: US27D),2020-02-28 00:00:00,0.0150290697281698,0.229364098237864,10.6609808102345,44.7523344505985,HSPA8;UBC,,,
Louping ill virus capsid (core) protein,2020-02-28 00:00:00,0.0150290697281698,0.228843998241859,10.6609808102345,44.7523344505985,UBC;RPL13,,,
Middle East respiratory syndrome-related coronavirus nsp8 protein (gene: orf1ab),2020-02-28 00:00:00,0.0150290697281698,0.228326251639502,10.6609808102345,44.7523344505985,UBB;B2M,,,
Human adenovirus 12 early E2A DNA-binding protein,2020-02-28 00:00:00,0.0150290697281698,0.227810842493589,10.6609808102345,44.7523344505985,HSP90AB1;UBC,,,
Yaba-like disease virus 84R protein (gene: 84R),2020-02-28 00:00:00,0.0150290697281698,0.227297755010495,10.6609808102345,44.7523344505985,HSPA8;UBC,,,
Human mastadenovirus A DBP,2020-02-28 00:00:00,0.0150290697281698,0.226786973538562,10.6609808102345,44.7523344505985,HSP90AB1;UBC,,,
Human parechovirus 6 capsid protein VP0,2020-02-28 00:00:00,0.0150290697281698,0.226278482566502,10.6609808102345,44.7523344505985,UBC;B2M,,,
Simian foamy virus full_polyprotein 1..1146 (gene: pol),4/142,0.0153741248147346,0.230955812373474,4.20433046037419,17.5533714085709,RPS4X;HSP90AB1;UBC;B2M,4.0,142.0,0.028169014084507043
KI polyomavirus large T antigen,3/78,0.0155275334801084,0.232739703836893,5.74052812858783,23.9101060697568,HSPA8;UBC;ALB,3.0,78.0,0.038461538461538464
Human immunodeficiency virus 1 integrase (gene: gag-pol),5/218,0.0158076131799482,0.23641007239054,3.42325071888265,14.1971231280568,HSP90AB1;UBC;B2M;ACTB;ACTG1,5.0,218.0,0.022935779816513763
Orf virus ORF095 DNA helicase,3/79,0.0160629765573116,0.23969530573855,5.66786321556773,23.4152932996172,HSPA8;UBC;PABPC1,3.0,79.0,0.0379746835443038
Human alphaherpesvirus 3 large tegument protein (gene: ORF22),3/79,0.0160629765573116,0.239163830559529,5.66786321556773,23.4152932996172,UBB;UBC;RPS27A,3.0,79.0,0.0379746835443038
Human herpesvirus 3 strain Dumas Large tegument protein deneddylase (gene: ORF22),3/79,0.0160629765573116,0.238634707040592,5.66786321556773,23.4152932996172,UBB;UBC;RPS27A,3.0,79.0,0.0379746835443038
Human papillomavirus 3 envelope protein (gene: E2),3/79,0.0160629765573116,0.238107919607831,5.66786321556773,23.4152932996172,PABPC1;EEF2;B2M,3.0,79.0,0.0379746835443038
Cowpox virus CPXV126 protein (gene: CPXV126 CDS),2020-02-29 00:00:00,0.0160722693565583,0.237720900284777,10.2933607822954,42.5183725398065,UBC;B2M,,,
Dengue virus 3 anchored capsid protein C (gene: flavivirus polyprotein),2020-02-29 00:00:00,0.0160722693565583,0.237198436767668,10.2933607822954,42.5183725398065,HSPA8;B2M,,,
Norovirus Hu/GII.3/Jingzhou/2013402/CHN major capsid protein VP1,2020-02-29 00:00:00,0.0160722693565583,0.236678264757212,10.2933607822954,42.5183725398065,UBC;GAPDH,,,
Human adenovirus 1 DBP,2020-02-29 00:00:00,0.0160722693565583,0.236160369210697,10.2933607822954,42.5183725398065,HSP90AB1;UBC,,,
Papiine alphaherpesvirus 2 envelope glycoprotein G (gene: US4),2020-02-29 00:00:00,0.0160722693565583,0.235644735216788,10.2933607822954,42.5183725398065,UBC;B2M,,,
Parvovirus NIH-CQV putative capsid protein (gene: cap),2020-02-29 00:00:00,0.0160722693565583,0.235131347994093,10.2933607822954,42.5183725398065,UBC;B2M,,,
Sudan ebolavirus minor nucleoprotein (gene: VP30),2020-02-29 00:00:00,0.0160722693565583,0.234620192889758,10.2933607822954,42.5183725398065,HSPA8;UBC,,,
Sudan ebolavirus - Nakisamata minor nucleoprotein (gene: VP30),2020-02-29 00:00:00,0.0160722693565583,0.234111255378067,10.2933607822954,42.5183725398065,HSPA8;UBC,,,
Vaccinia virus contains mutT-like motif of NTP-phosphohydrolase for DNA repair (gene: D9R),2020-02-29 00:00:00,0.0160722693565583,0.233604521059067,10.2933607822954,42.5183725398065,UBC;B2M,,,
Human betaherpesvirus 5 interleukin-10 (gene: UL111A),2020-02-29 00:00:00,0.0160722693565583,0.233099975657211,10.2933607822954,42.5183725398065,HSPA8;UBC,,,
Vaccinia virus sulfhydryl oxidase (gene: E10R),2020-02-29 00:00:00,0.0160722693565583,0.232597605020019,10.2933607822954,42.5183725398065,UBC;ALB,,,
Human gammaherpesvirus 8 ORF16 (gene: ORF16),2020-02-29 00:00:00,0.0160722693565583,0.23209739511675,10.2933607822954,42.5183725398065,HSPA8;UBC,,,
Lake Victoria marburgvirus - Leiden glycoprotein (gene: GP),4/144,0.0161042513911815,0.232060189038163,4.14593698175788,17.1172138486143,HSPA8;UBC;FGG;RPL23A,4.0,144.0,0.027777777777777776
Human papillomavirus type 114 E2 protein (gene: E2),4/145,0.0164773511163631,0.236928078686035,4.11734431291817,16.9048625863105,EEF1G;PABPC1;EEF2;B2M,4.0,145.0,0.027586206896551724
Influenza A virus (A/New York/392/2004(H3N2)) HA2 (gene: HA),3/80,0.0166087147801474,0.238306666129679,5.59701492537313,22.9356029922823,UBC;APOA1;B2M,3.0,80.0,0.0375
Cowpox virus CPXV087 protein (gene: CPXV087 CDS),3/80,0.0166087147801474,0.237798549570767,5.59701492537313,22.9356029922823,HSPA8;UBC;PABPC1,3.0,80.0,0.0375
Orf virus ORF071 NPH-PPH downregulator,3/80,0.0166087147801474,0.237292595209979,5.59701492537313,22.9356029922823,UBC;MYH9;B2M,3.0,80.0,0.0375
Human mastadenovirus F encapsidation protein IVa2 (gene: IVa2),3/80,0.0166087147801474,0.23678878927535,5.59701492537313,22.9356029922823,UBB;UBC;ALB,3.0,80.0,0.0375
Crimean-Congo hemorrhagic fever virus full_polyprotein 1..3945 (gene: RdRp),4/146,0.016855838789877,0.239802876004288,4.08914332447352,16.6962100449265,UBB;UBC;FAU;RPS27A,4.0,146.0,0.0273972602739726
Aichi virus 1 VP0,2/30,0.0171455849404774,0.243409308404452,9.9502487562189,40.4578564814531,UBC;B2M,2.0,30.0,0.06666666666666667
Human rhinovirus B83 3D,2/30,0.0171455849404774,0.242895786656764,9.9502487562189,40.4578564814531,UBC;ALB,2.0,30.0,0.06666666666666667
Dengue virus 2 capsid protein C (gene: flavivirus polyprotein),2/30,0.0171455849404774,0.242384427105907,9.9502487562189,40.4578564814531,HSPA8;UBC,2.0,30.0,0.06666666666666667
Norovirus Hu/GII.3/CBNU1/2006/KOR capsid protein,2/30,0.0171455849404774,0.241875216124592,9.9502487562189,40.4578564814531,UBC;GAPDH,2.0,30.0,0.06666666666666667
Human adenovirus 52 pIIIa (gene: pIIIa),2/30,0.0171455849404774,0.241368140199803,9.9502487562189,40.4578564814531,HSPA8;UBC,2.0,30.0,0.06666666666666667
Human immunodeficiency virus 2 vpx protein,2/30,0.0171455849404774,0.240863185931603,9.9502487562189,40.4578564814531,HSPA8;RPL23A,2.0,30.0,0.06666666666666667
Human rhinovirus B27 3D,2/30,0.0171455849404774,0.240360340031954,9.9502487562189,40.4578564814531,UBC;ALB,2.0,30.0,0.06666666666666667
Human rhinovirus B4 3D (polymerase),2/30,0.0171455849404774,0.239859589323554,9.9502487562189,40.4578564814531,UBC;ALB,2.0,30.0,0.06666666666666667
Influenza A virus (A/Northern Territory/60/1968(H3N2)) hemagglutinin (gene: HA),3/81,0.0171647653803352,0.239628689249378,5.52791597567717,22.4704064160192,UBC;APOA1;B2M,3.0,81.0,0.037037037037037035
Dugbe virus L protein,4/147,0.0172397365343094,0.240175997568232,4.06132602294649,16.4911698491055,UBB;UBC;FAU;RPS27A,4.0,147.0,0.027210884353741496
Hepatitis C virus subtype 1g full_polyprotein 1..3015,3/82,0.0177311437399841,0.246510621561063,5.46050236621769,22.0191080391442,HSPA8;HSP90AB1;B2M,3.0,82.0,0.036585365853658534
Variola virus hypothetical protein (gene: J9R),7/398,0.017864877362012,0.247856717946096,2.62506562664067,10.5656756040127,TTR;UBB;UBC;RPL13;MT-CO2;RPS27A;B2M,7.0,398.0,0.017587939698492462
Vaccinia virus kelch-like protein (gene: C2L),5/226,0.0181827211537689,0.251746335149604,3.30207370228503,13.2323455389261,HSPA8;UBB;UBC;RPS27A;B2M,5.0,226.0,0.022123893805309734
Human rhinovirus B99 1D,2/31,0.0182485724275435,0.252138197224187,9.62927298988926,38.5524162268804,UBC;B2M,2.0,31.0,0.06451612903225806
Norovirus Hu/GII.3/HK71/1978/CHN capsid protein VP1 (gene: VP1),2/31,0.0182485724275435,0.251620459652885,9.62927298988926,38.5524162268804,UBC;GAPDH,2.0,31.0,0.06451612903225806
Human betaherpesvirus 5 membrane glycoprotein UL141 (gene: UL141),2/31,0.0182485724275435,0.251104843956875,9.62927298988926,38.5524162268804,UBC;B2M,2.0,31.0,0.06451612903225806
Human papillomavirus 167 E7 (gene: E7),2/31,0.0182485724275435,0.250591337118517,9.62927298988926,38.5524162268804,UBC;B2M,2.0,31.0,0.06451612903225806
Cercopithecine betaherpesvirus 5 tegument protein UL37 (gene: UL47),5/229,0.0191309768031036,0.262172467822123,3.25881509483152,12.8933273659351,FGB;HSPA8;FTH1;UBC;PABPC1,5.0,229.0,0.021834061135371178
Human rhinovirus B92 3D,2/32,0.0193807923002009,0.265055031152442,9.32835820895522,36.7861267816406,UBC;ALB,2.0,32.0,0.0625
Dengue virus 1 membrane glycoprotein precursor M (gene: flavivirus polyprotein),2/32,0.0193807923002009,0.264516301414327,9.32835820895522,36.7861267816406,HSPA8;B2M,2.0,32.0,0.0625
Dengue virus 3 capsid protein C (gene: flavivirus polyprotein),2/32,0.0193807923002009,0.263979757192391,9.32835820895522,36.7861267816406,HSPA8;B2M,2.0,32.0,0.0625
Hepatitis C virus genotype 4 p7 protein,2/32,0.0193807923002009,0.263445385214269,9.32835820895522,36.7861267816406,HSPA8;APOA1,2.0,32.0,0.0625
Human adenovirus 68 DNA binding protein (gene: E2A),2/32,0.0193807923002009,0.262913172314846,9.32835820895522,36.7861267816406,HSP90AB1;UBC,2.0,32.0,0.0625
Human alphaherpesvirus 1 helicase-primase helicase subunit (gene: UL5),2/32,0.0193807923002009,0.262383105435179,9.32835820895522,36.7861267816406,UBC;GAPDH,2.0,32.0,0.0625
Sin Nombre virus viral RNA polymerase (L protein),2/32,0.0193807923002009,0.261855171621426,9.32835820895522,36.7861267816406,HSPA8;UBC,2.0,32.0,0.0625
Vaccinia virus Ankara 24.6k putative hydrolase.,2/32,0.0193807923002009,0.261329358023793,9.32835820895522,36.7861267816406,UBC;B2M,2.0,32.0,0.0625
Enterovirus C99 full_polyprotein 1..2210,3/85,0.0194923722469345,0.262307173623577,5.26777875329236,20.7431012647691,HP;B2M;CFB,3.0,85.0,0.03529411764705882
Human papillomavirus 125 putative E2 protein (gene: E2),3/85,0.0194923722469345,0.26178255927633,5.26777875329236,20.7431012647691,PABPC1;EEF2;B2M,3.0,85.0,0.03529411764705882
Monkeypox virus Zaire-96-I-16 B2R (gene: B2R),10/702,0.019807025299789,0.265477394986193,2.1261215291066,8.33805032761892,C3;UBB;UBC;ALB;LCN2;RACK1;RPL13;MT-CO2;RPS27A;B2M,10.0,702.0,0.014245014245014245
Variola virus hypothetical protein (gene: J7R),4/154,0.0200802588380464,0.268603462345581,3.87672029463074,15.1502930564091,HSPA8;RPL7A;UBC;B2M,4.0,154.0,0.025974025974025976
Lake Victoria marburgvirus - DRC1999 glycoprotein (gene: GP),3/86,0.0201001797323198,0.268335401396675,5.20652551197501,20.3420332630196,HSPA8;UBC;RPL23A,3.0,86.0,0.03488372093023256
Human papillomavirus type 62 putative regulatory protein E2 (gene: E2),3/86,0.0201001797323198,0.267802989885967,5.20652551197501,20.3420332630196,PABPC1;EEF2;B2M,3.0,86.0,0.03488372093023256
Human papillomavirus type 86 putative regulatory protein E2 (gene: E2),3/86,0.0201001797323198,0.267272686935698,5.20652551197501,20.3420332630196,PABPC1;EEF2;B2M,3.0,86.0,0.03488372093023256
Japanese encephalitis virus core protein C,2/33,0.020541809501079,0.272605238734675,9.04568068747173,35.1451196916525,HSPA8;ACTB,2.0,33.0,0.06060606060606061
Coxsackievirus A8 3D protein,2/33,0.020541809501079,0.272067555818039,9.04568068747173,35.1451196916525,UBC;ALB,2.0,33.0,0.06060606060606061
Murray Valley encephalitis virus NS3,2/33,0.020541809501079,0.271531989763279,9.04568068747173,35.1451196916525,AMBP;UBC,2.0,33.0,0.06060606060606061
Enterovirus A 3D,2/33,0.020541809501079,0.270998528093803,9.04568068747173,35.1451196916525,UBC;ALB,2.0,33.0,0.06060606060606061
Papiine alphaherpesvirus 2 deoxyuridine triphosphatase (gene: UL50),2/33,0.020541809501079,0.270467158430874,9.04568068747173,35.1451196916525,UBC;B2M,2.0,33.0,0.06060606060606061
Reston ebolavirus - Reston VP35 (gene: VP35),2/33,0.020541809501079,0.269937868492653,9.04568068747173,35.1451196916525,UBC;B2M,2.0,33.0,0.06060606060606061
Rhinovirus B69 3D,2/33,0.020541809501079,0.269410646093253,9.04568068747173,35.1451196916525,UBC;ALB,2.0,33.0,0.06060606060606061
Human alphaherpesvirus 3 envelope glycoprotein E (gene: ORF68),2/33,0.020541809501079,0.268885479141805,9.04568068747173,35.1451196916525,UBC;B2M,2.0,33.0,0.06060606060606061
Human coronavirus 229E nucleocapsid protein (gene: N),2/33,0.020541809501079,0.268362355641529,9.04568068747173,35.1451196916525,PABPC1;B2M,2.0,33.0,0.06060606060606061
Human herpesvirus 3 strain Dumas membrane glycoprotein gE,2/33,0.020541809501079,0.267841263688827,9.04568068747173,35.1451196916525,UBC;B2M,2.0,33.0,0.06060606060606061
Zika virus anchored capsid protein C (gene: flavivirus polyprotein),2/33,0.020541809501079,0.267322191472376,9.04568068747173,35.1451196916525,HSPA8;UBC,2.0,33.0,0.06060606060606061
Human mastadenovirus B single-stranded DNA-binding protein (gene: E2A),2/33,0.020541809501079,0.266805127272236,9.04568068747173,35.1451196916525,HSP90AB1;UBC,2.0,33.0,0.06060606060606061
Human papillomavirus type 49 E7 protein (gene: E7),2/33,0.020541809501079,0.266290059458969,9.04568068747173,35.1451196916525,UBC;HP,2.0,33.0,0.06060606060606061
Yaba-like disease virus 141R protein (gene: 141R),4/156,0.0209416785919676,0.270950619932683,3.82701875239189,14.7953077488231,UBB;UBC;RPL13;B2M,4.0,156.0,0.02564102564102564
Japanese encephalitis virus prodexcised_polyprotein 1..794,3/88,0.0213469340603436,0.275662811952322,5.08819538670285,19.5735099390289,HSPA8;HSP90AB1;B2M,3.0,88.0,0.03409090909090909
Cercopithecine betaherpesvirus 5 membrane glycoprotein UL141 (gene: UL141),2/34,0.0217311934304723,0.28008630304342,8.77963125548727,33.6172657186427,UBC;B2M,2.0,34.0,0.058823529411764705
Coxsackievirus A12 3D protein,2/34,0.0217311934304723,0.279549739244486,8.77963125548727,33.6172657186427,UBC;ALB,2.0,34.0,0.058823529411764705
Mupapillomavirus 1 E7 protein (gene: E7),2/34,0.0217311934304723,0.279015227314764,8.77963125548727,33.6172657186427,UBC;B2M,2.0,34.0,0.058823529411764705
Hepatitis C virus (isolate 6a33) putative p7 protein,2/34,0.0217311934304723,0.278482755506911,8.77963125548727,33.6172657186427,HSPA8;APOA1,2.0,34.0,0.058823529411764705
Hepatitis C virus genotype 2 p7 protein,2/34,0.0217311934304723,0.277952312163089,8.77963125548727,33.6172657186427,HSPA8;APOA1,2.0,34.0,0.058823529411764705
Hepatitis C virus genotype 3 p7 protein,2/34,0.0217311934304723,0.277423885714109,8.77963125548727,33.6172657186427,HSPA8;APOA1,2.0,34.0,0.058823529411764705
Hepatitis C virus genotype 6 p7 protein,2/34,0.0217311934304723,0.276897464678599,8.77963125548727,33.6172657186427,HSPA8;APOA1,2.0,34.0,0.058823529411764705
Human adenovirus 52 E4 ORF1 (gene: E4),2/34,0.0217311934304723,0.276373037662162,8.77963125548727,33.6172657186427,UBC;B2M,2.0,34.0,0.058823529411764705
Human adenovirus Chiba_E086/2012 CR1-b (gene: E3),2/34,0.0217311934304723,0.275850593356563,8.77963125548727,33.6172657186427,UBC;B2M,2.0,34.0,0.058823529411764705
